Pfam keyword	Pfam term
DUF2127	Predicted membrane protein (DUF2127)
DUF2126	Putative amidoligase enzyme (DUF2126)
DUF2125	Uncharacterized protein conserved in bacteria (DUF2125)
DUF2124	Uncharacterized protein conserved in archaea (DUF2124)
DUF2651	Protein of unknown function (DUF2651)   
DUF2122	RecB-family nuclease (DUF2122)
DUF2121	Uncharacterized protein conserved in archaea (DUF2121)
DUF2120	Uncharacterized protein conserved in archaea (DUF2120)
DUF3839	Protein of unknown function (DUF3839)
DUF3528	Protein of unknown function (DUF3528)
DUF3529	Protein of unknown function (DUF3529)
DUF3298	Protein of unknown function (DUF3298)
DUF3299	Protein of unknown function (DUF3299)
DUF3296	Protein of unknown function (DUF3296)
DUF3833	Protein of unknown function (DUF3833)
DUF3830	Protein of unknown function (DUF3830)
DUF3295	Protein of unknown function (DUF3295)
DUF3836	Family of unknown function (DUF3836)
DUF3837	Domain of unknown function (DUF3837)
DUF3522	Protein of unknown function (DUF3522)
DUF3835	Domain of unknown function (DUF3835)
HORMA	HORMA domain
CodY	CodY GAF-like domain
API5	Apoptosis inhibitory protein 5 (API5)
SPAN	Surface presentation of antigens protein
SPAM	Salmonella surface presentation of antigen gene type M protein
SOCS	Suppressor of cytokine signalling
DUF3748	Protein of unknown function (DUF3748)
DUF3749	Acetyltransferase (GNAT) domain
DUF3740	Sulfatase protein
DUF3741	Protein of unknown function (DUF3741)
DUF3742	Protein of unknown function (DUF3742)
DUF3744	ATP-binding cassette cobalt transporter
DUF3745	Protein of unknown function (DUF3745)
DUF3746	Protein of unknown function (DUF3746)
DUF3747	Protein of unknown function (DUF3747)
PDZ	PDZ domain (Also known as DHR or GLGF)
CDC50	LEM3 (ligand-effect modulator 3) family / CDC50 family
SKG6	Transmembrane alpha-helix domain
DOMON	DOMON domain
SBDS	Shwachman-Bodian-Diamond syndrome (SBDS) protein |SBDS protein C-terminal domain
FmdE	FmdE, Molybdenum formylmethanofuran dehydrogenase operon 
PSRT	PSRT
AIRC	AIR carboxylase
AIRS	AIR synthase related protein, N-terminal domain|AIR synthase related protein, C-terminal domain
DUF4217	Domain of unknown function (DUF4217)
DUF4216	Domain of unknown function (DUF4216)
DUF4215	Domain of unknown function (DUF4215)
DUF4214	Domain of unknown function (DUF4214)
DUF4213	Domain of unknown function (DUF4213)
DUF4212	Domain of unknown function (DUF4212)
DUF4211	Domain of unknown function (DUF4211)
DUF4210	Domain of unknown function (DUF4210)
FixQ	Cbb3-type cytochrome oxidase component FixQ
DUF4218	Domain of unknown function (DUF4218)
FixO	Cytochrome C oxidase, mono-heme subunit/FixO
ATHILA	ATHILA ORF-1 family
FixH	FixH
SEN1	SEN1 N terminal
T2SN	Type II secretion system (T2SS), protein N
T2SM	Type II secretion system (T2SS), protein M
T2SL	Type II secretion system (T2SS), protein L
Rcd1	Cell differentiation family, Rcd1-like 
T2SJ	Type II secretion system (T2SS), protein J
T2SI	Type II secretion system (T2SS), protein I
T2SG	Type II secretion system (T2SS), protein G
T2SF	Type II secretion system (T2SS), protein F
T2SE	Type II/IV secretion system protein
DUF3037	Protein of unknown function (DUF3037)
OmpW	OmpW family
RnfC	RnfC Barrel sandwich hybrid domain
OmpA	OmpA family
OmpH	Outer membrane protein (OmpH-like)
PaREP1	Archaeal PaREP1/PaREP8 family
Fcf2	Fcf2 pre-rRNA processing
Fcf1	Fcf1
ALMT	Aluminium activated malate transporter
LYAR	LYAR-type C2HC zinc finger 
UTRA	UTRA domain
DMA	DMRTA motif
CagZ	CagZ
DUF1041	Domain of Unknown Function (DUF1041)
DUF1040	Protein of unknown function (DUF1040)
DUF1043	Protein of unknown function (DUF1043)
DUF1042	Domain of Unknown Function (DUF1042)
DUF1045	Protein of unknown function (DUF1045)
DUF1044	Protein of unknown function (DUF1044)
DUF1049	Protein of unknown function (DUF1049)
DUF1048	Protein of unknown function (DUF1048)
YdfZ	YdfZ protein
GIDE	E3 Ubiquitin ligase
GIDA	Glucose inhibited division protein A
XRN	XRN 5'-3' exonuclease N-terminus
PHO4	Phosphate transporter family
SfsA	Sugar fermentation stimulation protein
DPPIV	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PSK	Phytosulfokine precursor protein (PSK)
PSI	Plexin repeat
GerPC	Spore germination protein GerPC
Nop53	Nop53 (60S ribosomal biogenesis)
Nop52	Nucleolar protein,Nop52
PSS	Phosphatidyl serine synthase
PSP	PSP
BCL	BCL7, N-terminal conserver region
Prp18	Prp18 domain
Prp19	Prp19/Pso4-like
HNF	HNF3 C-terminal domain
HNH	HNH endonuclease
ITAM	Immunoreceptor tyrosine-based activation motif
CesA	Type III secretion system filament chaperone CesA
OAS1	2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus 
GHBP	Growth hormone receptor binding
DUF1903	Domain of unknown function (DUF1903)
CesT	Tir chaperone protein (CesT) family
NEMO	NF-kappa-B essential modulator NEMO
SRR	Seven Residue Repeat
SRX	SRX
NMT	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain|Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain
NMU	Neuromedin U
DUF1325	SGF29 tudor-like domain
DUF329	Domain of unknown function (DUF329)
BPS	BPS (Between PH and SH2) 
DUF717	Protein of unknown function (DUF717)
DUF716	Family of unknown function (DUF716) 
DUF711	Uncharacterised ACR (DUF711)
DUF713	Protein of unknown function (DUF713)
