Pfam keyword	Pfam term
YueH	YueH-like protein
DUF424	Protein of unknown function (DUF424)
DUF423	Protein of unknown function (DUF423)
DUF422	Protein of unknown function (DUF422)
DUF421	Protein of unknown function (DUF421)
DUF420	Protein of unknown function (DUF420)
AGT	DNA alpha-glucosyltransferase
DUF429	Protein of unknown function (DUF429)
LCCL	LCCL domain
Ycf54	Protein of unknown function (DUF2488)
PrmA	Ribosomal protein L11 methyltransferase (PrmA)
SufE	Fe-S metabolism associated domain
TDH	Vibrio thermostable direct hemolysin
ATP13	Mitochondrial ATPase expression
ATP12	ATP12 chaperone protein
ATP11	ATP11 protein
SNF	Sodium:neurotransmitter symporter family
MAP	MAP domain
DeoC	DeoC/LacD family aldolase
BOP1NT	BOP1NT (NUC169) domain
SNO	SNO glutamine amidotransferase family
KTI12	Chromatin associated protein KTI12 
NEAT	Iron Transport-associated domain 
MAD	Mitotic checkpoint protein
MAM	MAM domain
XisI	XisI protein
met2	Zinc-binding
EVE	EVE domain
DUF1307	Protein of unknown function (DUF1307)
DUF2066	Uncharacterized protein conserved in bacteria (DUF2066)
DUF2067	Uncharacterized protein conserved in archaea (DUF2067)
DUF2064	Uncharacterized protein conserved in bacteria (DUF2064)
DUF2065	Uncharacterized protein conserved in bacteria (DUF2065)
DUF2062	Uncharacterized protein conserved in bacteria (DUF2062)
DUF2063	Uncharacterized protein conserved in bacteria (DUF2063)
DUF2061	Predicted membrane protein (DUF2061)
Hus1	Hus1-like protein
LSM	LSM domain 
DUF2069	Predicted membrane protein (DUF2069)
LSR	Lipolysis stimulated receptor (LSR)
YfdX	YfdX protein
UPF0027	Uncharacterized protein family UPF0027
UPF0020	Putative RNA methylase family UPF0020
SpoVS	Stage V sporulation protein S (SpoVS)
SpoVR	SpoVR like protein
UPF0029	Uncharacterized protein family UPF0029
SpoVA	SpoVA protein
SpoVG	SpoVG
DUF2390	Protein of unknown function (DUF2390)
DUF2391	Putative integral membrane protein (DUF2391)
DUF2392	Protein of unknown function (DUF2392)
DUF2393	Protein of unknown function (DUF2393)
DUF2396	Protein of unknown function (DUF2396)
DUF2397	Protein of unknown function (DUF2397)
DUF2398	Protein of unknown function (DUF2398)
DUF2399	Protein of unknown function C-terminus (DUF2399)
DUF95	Integral membrane protein DUF95
DUF92	Integral membrane protein DUF92
DUF91	Protein of unknown function DUF91
DUF2647	Protein of unknown function (DUF2647)   
FTCD	Formiminotransferase domain|Formiminotransferase-cyclodeaminase|Formiminotransferase domain, N-terminal subdomain
DUF2132	Uncharacterized conserved protein (DUF2132)
DUF2133	Uncharacterized protein conserved in bacteria (DUF2133)
PdxJ	Pyridoxal phosphate biosynthesis protein PdxJ
PdxA	Pyridoxal phosphate biosynthetic protein PdxA
FolB	Dihydroneopterin aldolase
CTD	Spt5 C-terminal nonapeptide repeat binding Spt4
DUF849	Prokaryotic protein of unknown function (DUF849)
CTI	Fatty acid cis/trans isomerase (CTI)
DUF2351	Uncharacterized conserved protein (DUF2351)
DUF2352	Uncharacterized conserved protein (DUF2352)
DUF54	Protein of unknown function DUF54
DUF3623	Protein of unknown function (DUF3623)
DUF3622	Protein of unknown function (DUF3622)
DUF3621	Protein of unknown function (DUF3621)
DUF3620	Protein of unknown function (DUF3620)
DUF3627	Protein of unknown function (DUF3627)
DUF3626	Protein of unknown function (DUF3626)
DUF3625	Protein of unknown function (DUF3625)
DUF3624	Protein of unknown function (DUF3624)
BUD22	BUD22
DUF3629	Protein of unknown function (DUF3629)
DUF3628	Protein of unknown function (DUF3628)
DUF59	Domain of unknown function DUF59
DUF4392	Domain of unknown function (DUF4392)
DUF4393	Domain of unknown function (DUF4393)
DUF4390	Domain of unknown function (DUF4390)
DUF4391	Domain of unknown function (DUF4391)
DUF4396	Domain of unknown function (DUF4396)
DUF4397	Domain of unknown function (DUF4397)
DUF4394	Domain of unknown function (DUF4394)
DUF4395	Domain of unknown function (DUF4395)
LON	ATP-dependent protease La (LON) domain
DUF4398	Domain of unknown function (DUF4398)
DUF4399	Domain of unknown function (DUF4399)
DUF840	Lagovirus protein of unknown function (DUF840)
DUF2934	Protein of unknown function (DUF2934)
DUF2935	Domain of unknown function (DUF2935)
DUF2937	Protein of unknown function (DUF2937)
DUF2930	Protein of unknown function (DUF2930)
DUF2931	Protein of unknown function (DUF2931)
DUF999	Protein of unknown function (DUF999)
DUF2933	Protein of unknown function (DUF2933)
DUF997	Protein of unknown function (DUF997)
DUF996	Protein of unknown function (DUF996)
DUF995	Protein of unknown function (DUF995)
DUF2938	Protein of unknown function (DUF2938)
DUF2939	Protein of unknown function (DUF2939)
YqaJ	YqaJ-like viral recombinase domain
DUF1005	Protein of unknown function (DUF1005)
DUF192	Uncharacterized ACR, COG1430
DUF190	Uncharacterized ACR, COG1993
FARP	FMRFamide related peptide family
RNaseH	T4 RNase H, C terminal
TIP41	TIP41-like family 
CD45	Leukocyte receptor CD45
ErmC	23S rRNA methylase leader peptide (ErmC)
CD47	CD47 transmembrane region
VMA21	VMA21-like domain
Tom37	Outer mitochondrial membrane transport complex protein|Tom37 C-terminal domain
SRP40	SRP40, C-terminal domain
NpwBP	mRNA biogenesis factor
Cag12	Cag pathogenicity island protein Cag12
FAR1	FAR1 DNA-binding domain
SopA	SopA-like central domain|SopA-like catalytic domain
SopD	Salmonella outer protein D
Msg2	Major surface glycoprotein 2 C terminal
DUF1272	Protein of unknown function (DUF1272)
DUF1273	Protein of unknown function (DUF1273)
DUF1270	Protein of unknown function (DUF1270)
DUF1271	Protein of unknown function (DUF1271)
DUF1275	Protein of unknown function (DUF1275)
DUF1279	Protein of unknown function (DUF1279)
CoatB	Bacteriophage coat protein B 
RcsC	RcsC Alpha-Beta-Loop (ABL)
CGGC	CGGC domain
GASA	Gibberellin regulated protein
AIM24	Mitochondrial biogenesis AIM24
DXPR	DXP reductoisomerase C-terminal domain
Aha1	Activator of Hsp90 ATPase, N-terminal
UBACT	Repeat in ubiquitin-activating (UBA) protein
KAT11	Histone acetylation protein
CbbQ	CbbQ/NirQ/NorQ C-terminal 
TM231	Transmembrane protein 231
APG9	Autophagy protein Apg9 
APG6	Autophagy protein Apg6
Nup188	Nucleoporin subcomplex protein binding to Pom34
APG5	Autophagy protein Apg5 
eIF2A	Eukaryotic translation initiation factor eIF2A
CsbD	CsbD-like
DUF678	Protein of unknown function (DUF678)
DUF679	Protein of unknown function (DUF679)
DUF673	Protein of unknown function (DUF673)
GAS2	Growth-Arrest-Specific Protein 2 Domain
DUF676	Putative serine esterase (DUF676)
DUF677	Protein of unknown function (DUF677)
COX16	Cytochrome c oxidase assembly protein COX16
MLTD	MltD lipid attachment motif
DUF2729	Protein of unknown function (DUF2729)
DUF2239	Uncharacterized protein conserved in bacteria (DUF2239)
DUF2238	Predicted membrane protein (DUF2238)
DUF2233	Predicted periplasmic protein (DUF2233)
DUF2232	Predicted membrane protein (DUF2232)
DUF2231	Predicted membrane protein (DUF2231)
DUF2722	Protein of unknown function (DUF2722)
DUF2237	Uncharacterized protein conserved in bacteria (DUF2237)
DUF2236	Uncharacterized protein conserved in bacteria (DUF2236)
DUF2235	Uncharacterized conserved protein (DUF2235)
DUF2726	Protein of unknown function (DUF2726)
Mfa2	Fimbrillin-A associated anchor proteins Mfa1 and Mfa2
Pik1	Yeast phosphatidylinositol-4-OH kinase Pik1
CHASE2	CHASE2 domain
CHASE3	CHASE3 domain
CHASE4	CHASE4 domain
MFMR	G-box binding protein MFMR
CsoSCA	Carboxysome Shell Carbonic Anhydrase
CelD	N-terminal ig-like domain of cellulase
Ufm1	Ubiquitin fold modifier 1 protein
TPMT	Thiopurine S-methyltransferase (TPMT)
BtrH	A predicted NlpC/p60-like peptidase
PPAK	PPAK motif
TUG	GLUT4 regulating protein TUG
UPF0278	UPF0278 family
UPF0270	Uncharacterised protein family (UPF0270)
RhodobacterPufX	Intrinsic membrane protein PufX
CCCH	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
DICT	Sensory domain found in DIguanylate Cyclases & Two-component systems
YIF1	YIF1
SidE	Dot/Icm substrate protein
PAS	PAS fold
PAX	'Paired box' domain
PAZ	PAZ domain
DUF4187	Domain of unknown function (DUF4187)
DUF4186	Domain of unknown function (DUF4186)
DUF4185	Domain of unknown function (DUF4185)
DUF4184	Domain of unknown function (DUF4184)
DUF4183	Domain of unknown function (DUF4183)
DUF4182	Domain of unknown function (DUF4182)
CKS	Cyclin-dependent kinase regulatory subunit
DUF4180	Domain of unknown function (DUF4180)
PAH	Paired amphipathic helix repeat
DUF4189	Domain of unknown function (DUF4189)
DUF4188	Domain of unknown function (DUF4188)
DCD	2'-deoxycytidine 5'-triphosphate deaminase (DCD)
DUF1719	Domain of unknown function (DUF1719)
DCX	Doublecortin
DUF1866	Domain of unknown function (DUF1866) 
DUF1717	Viral domain of unknown function (DUF1717)
DUF1716	Eukaryotic domain of unknown function (DUF1716)
DCR	Dppa2/4 conserved region
DUF1713	Mitochondrial domain of unknown function (DUF1713)
DUF1712	Fungal domain of unknown function (DUF1712)
MAAL	Methylaspartate ammonia-lyase C-terminus|Methylaspartate ammonia-lyase N-terminus
Img2	Mitochondrial large subunit ribosomal protein (Img2)
DUF441	Protein of unknown function (DUF441)
DUF440	Protein of unknown function, DUF440
DUF443	Protein of unknown function (DUF443) 
NifZ	NifZ domain
DUF445	Protein of unknown function (DUF445)
DUF444	Protein of unknown function (DUF444)
DUF447	Protein of unknown function (DUF447)
DUF446	tRNA pseudouridine synthase C
NifQ	NifQ
DUF448	Protein of unknown function (DUF448)
NifU	NifU-like domain|NifU-like N terminal domain
NifT	NifT/FixU protein
NifW	Nitrogen fixation protein NifW
PNGaseA	Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A
GDPD	Glycerophosphoryl diester phosphodiesterase family
Lge1	Transcriptional regulatory protein LGE1
CHDCT2	CHDCT2 (NUC038) domain
LigD	DNA polymerase Ligase (LigD)
PrkA	PrkA serine protein kinase C-terminal domain
LigA	Aromatic-ring-opening dioxygenase LigAB, LigA subunit
LigB	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PADR1	PADR1 (NUC008) domain
KbaA	KinB-signalling pathway activation in sporulation
MlrC	MlrC C-terminus
SAPS	SIT4 phosphatase-associated protein
FTA4	Kinetochore complex Fta4 of Sim4 subunit, or CENP-50
SelR	SelR domain
FTA2	Kinetochore Sim4 complex subunit FTA2
ETF	Electron transfer flavoprotein domain
ChitinaseA	Chitinase A, N-terminal domain
DUF2000	Protein of unknown function (DUF2000)
DUF2001	Protein of unknown function (DUF2001)
DUF2002	Protein of unknown function (DUF2002)
DUF2003	Eukaryotic protein of unknown function (DUF2003)
DUF2004	Protein of unknown function (DUF2004)
DUF2005	Protein of unknown function (DUF2005)
DUF2007	Domain of unknown function (DUF2007)
DUF2009	Protein of unknown function (DUF2009)
TM1506	Domain of unknown function (DUF1893)
NCD1	NAB conserved region 1 (NCD1)
RVP	Retroviral aspartyl protease
YccJ	YccJ-like protein
UPF0041	Uncharacterised protein family (UPF0041)
YadA	YadA-like C-terminal region
UPF0047	Uncharacterised protein family UPF0047
RVT	N-terminal domain of reverse transcriptase|zinc-binding in reverse transcriptase
TpcC	Conjugative transposon protein TcpC
SpoIID	Stage II sporulation protein
SpoIIE	Stage II sporulation protein E (SpoIIE)
AAT	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
NQRA	Na(+)-translocating NADH-quinone reductase subunit A (NQRA)
SpoIIP	Stage II sporulation protein P (SpoIIP)
BAGE	B melanoma antigen family
p12I	Human adult T cell leukemia/lymphoma virus protein
ECM1	Extracellular matrix protein 1 (ECM1)
CsgF	Type VIII secretion system (T8SS), CsgF protein
CsgE	Curli assembly protein CsgE
CALCOCO1	Calcium binding and coiled-coil domain (CALCOCO1) like
DUF3609	Protein of unknown function (DUF3609)
DUF3608	Protein of unknown function (DUF3608)
DUF3359	Protein of unknown function (DUF3359)
DUF3358	Domain of unknown function (DUF3358)
DUF3357	Domain of unknown function (DUF3357)
DUF3356	Protein of unknown function (DUF3356)
DUF3355	Domain of unknown function (DUF3355)
DUF3354	Domain of unknown function (DUF3354)
DUF3601	Domain of unknown function (DUF3601)
DUF3600	Domain of unknown function (DUF3600)
DUF3603	Protein of unknown function (DUF3603)
DUF3350	Domain of unknown function (DUF3350)
Nif11	Nitrogen fixation protein of unknown function
DUF4378	Domain of unknown function (DUF4378)
DUF4379	Domain of unknown function (DUF4379)
DUF4374	Domain of unknown function (DUF4374)
DUF4375	Domain of unknown function (DUF4375)
DUF4376	Domain of unknown function (DUF4376)
DUF4377	Domain of unknown function (DUF4377)
DUF4370	Domain of unknown function (DUF4370)
DUF4371	Domain of unknown function (DUF4371)
DUF4372	Domain of unknown function (DUF4372)
DUF4373	Domain of unknown function (DUF4373)
BsmA	Biofilm formation and stress response factor
DUF2919	Protein of unknown function (DUF2919)
DUF2917	Protein of unknown function (DUF2917)
DUF2914	Protein of unknown function (DUF2914)
DUF2913	Protein of unknown function (DUF2913)
DUF2910	Protein of unknown function (DUF2910)
DUF2911	Protein of unknown function (DUF2911)
VAR1	Mitochondrial ribosomal protein (VAR1)
FATC	FATC domain
DUF2431	Domain of unknown function (DUF2431)
DUF2457	Protein of unknown function (DUF2457)
EpuA	DNA-directed RNA polymerase subunit beta
PSGP	Apopolysialoglycoprotein (PSGP)
DctM	DctM-like transporters
CIMR	Cation-independent mannose-6-phosphate receptor repeat
PetM	PetM family of cytochrome b6f complex subunit 7
PetL	Cytochrome B6-F complex subunit VI (PetL)
PetN	PetN 
CIAPIN1	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis
DUF2439	Protein of unknown function (DUF2439)
RES	RES domain
DUF2456	Protein of unknown function (DUF2456)
S1	S1 RNA binding domain|S1-like
DctQ	Tripartite ATP-independent periplasmic transporters, DctQ component
REV	REV protein (anti-repression trans-activator protein)
CD20	CD20-like family
MtaB	Methanol-cobalamin methyltransferase B subunit
PcfK	PcfK-like protein
PcfJ	PcfJ-like protein
S4	S4 domain
YojJ	Bacterial membrane-spanning protein N-terminus
REJ	REJ domain
Nup160	Nucleoporin Nup120/160
REF	Rubber elongation factor protein (REF)
CXC	Tesmin/TSO1-like CXC domain
UPF0565	Uncharacterised protein family UPF0565
UL73	Cytomegalovirus glycoprotein N terminal
YbaJ	Biofilm formation regulator YbaJ
YbaK	YbaK / prolyl-tRNA synthetases associated domain
DUF1298	Protein of unknown function (DUF1298)
DUF1299	Protein of unknown function (DUF1299)
DUF1294	Protein of unknown function (DUF1294)
DUF1295	Protein of unknown function (DUF1295)
DUF1296	Protein of unknown function (DUF1296)
DUF1297	Domain of unknown function (DUF1297)
DUF1290	Protein of unknown function (DUF1290)
DUF1292	Protein of unknown function (DUF1292)
DUF1293	Protein of unknown function (DUF1293)
FCS	MYM-type Zinc finger with FCS sequence motif
RadC	RadC-like JAB domain
ELM2	ELM2 domain
DDA1	Det1 complexing ubiquitin ligase
HSP90	Hsp90 protein
DUF389	Domain of unknown function (DUF389) 
L27	L27 domain|L27_N
DUF382	Domain of unknown function (DUF382) 
DUF383	Domain of unknown function (DUF383)
DUF381	Domain of unknown function (DUF381)
DUF386	Domain of unknown function (DUF386)
DUF387	Putative transcriptional regulators (Ypuh-like)
DUF384	Domain of unknown function (DUF384)
DUF385	Domain of unknown function (DUF385) 
NKAIN	Na,K-Atpase Interacting protein
MotCF	Bacteriophage T4 MotA, C-terminal
Vps35	Vacuolar protein sorting-associated protein 35 
YaaC	YaaC-like Protein
DUF655	Protein of unknown function, DUF655
DUF656	Family of unknown function (DUF656) 
DUF650	Archaeal protein of unknown function (DUF650)
DUF651	Archaeal protein of unknown function (DUF651)
DUF658	Protein of unknown function (DUF658)
DUF659	Protein of unknown function (DUF 659)
UBA	UBA/TS-N domain
XET	Xyloglucan endo-transglycosylase (XET) C-terminus
EST1	Telomerase activating protein Est1
TryThrA	Tryptophan-Threonine-rich plasmodium antigen C terminal
GFP	Green fluorescent protein
Gmad2	Immunoglobulin-like domain of bacterial spore germination
FYVE	FYVE zinc finger
IATP	Mitochondrial ATPase inhibitor, IATP
VSP	Giardia variant-specific surface protein
DUF2215	Uncharacterized conserved protein (DUF2215)
DUF2214	Predicted membrane protein (DUF2214)
DUF2217	Uncharacterized conserved protein (DUF2217)
DUF2216	Uncharacterized conserved proteins (DUF2216)
DUF2746	Protein of unknown function (DUF2746)
DUF2213	Uncharacterized protein conserved in bacteria (DUF2213)
BtpA	BtpA family
DUF2749	Protein of unknown function (DUF2749)
DUF2748	Protein of unknown function (DUF2748)
DUF2219	Uncharacterized protein conserved in bacteria (DUF2219)
DUF2218	Uncharacterized protein conserved in bacteria (DUF2218)
BolA	BolA-like protein
DUF3165	Protein of unknown function (DUF3165)
DUF3166	Protein of unknown function (DUF3166)
Kp4	Kp4
DUF3161	Protein of unknown function (DUF3161)
MAS20	MAS20 protein import receptor
DUF3168	Protein of unknown function (DUF3168)
DUF3169	Protein of unknown function (DUF3169)
Tau95	RNA polymerase III transcription factor (TF)IIIC subunit
UPF0254	Uncharacterised protein family (UPF0254)
UPF0257	Uncharacterised protein family (UPF0257)
UPF0253	Uncharacterised protein family (UPF0253)
UPF0259	Uncharacterised protein family (UPF0259)
UPF0258	Uncharacterised protein family (UPF0258)
SANTA	SANTA (SANT Associated)
Git3	G protein-coupled glucose receptor regulating Gpa2|G protein-coupled glucose receptor regulating Gpa2 C-term
XkdW	XkdW protein
CCAP	Arthropod cardioacceleratory peptide 2a
UPF0160	Uncharacterised protein family (UPF0160)
SSURE	Fibronectin-binding repeat
PCP	Peridinin-chlorophyll A binding protein
CMD	Carboxymuconolactone decarboxylase family
PCI	PCI domain
PXPV	PXPV repeat (3 copies)
DUF1849	Domain of unknown function (DUF1849)
DUF1848	Domain of unknown function (DUF1848)
SH	Viral small hydrophobic protein
P68HR	P68HR (NUC004) repeat
DUF1841	Domain of unknown function (DUF1841)
DUF1840	Domain of unknown function (DUF1840)
DUF1843	Domain of unknown function (DUF1843)
DUF1842	Domain of unknown function (DUF1842)
DUF1845	Domain of unknown function (DUF1845)
DUF1844	Domain of unknown function (DUF1844)
DUF1847	Protein of unknown function (DUF1847)
DUF1846	Domain of unknown function (DUF1846)
Ric8	Guanine nucleotide exchange factor synembryn
MAGP	Microfibril-associated glycoprotein (MAGP)
MAGE	MAGE family|Melanoma associated antigen family N terminal 
DUF1593	Protein of unknown function (DUF1593)
DUF1590	Protein of unknown function (DUF1590)
DUF1597	Outer membrane protein family (DUF1597)
DUF1596	Protein of unknown function (DUF1596)
DUF1599	Domain of Unknown Function (DUF1599)
DUF1598	Protein of unknown function (DUF1598)
PC4	Transcriptional Coactivator p15 (PC4)
SE	Squalene epoxidase
Pet127	Mitochondrial protein Pet127
ING	Inhibitor of growth proteins N-terminal histone-binding
CM2	Influenza C virus M2 protein
CM1	Influenza C virus M1 protein
GLF	UDP-galactopyranose mutase
Elf1	Transcription elongation factor Elf1 like
DUF469	Protein with unknown function (DUF469)
DUF468	Protein of unknown function (DUF468) 
DUF463	YcjX-like family, DUF463
DUF462	Protein of unknown function, DUF462
DUF461	Protein of unknown function (DUF461)
DUF460	Protein of unknown function (DUF460)
DUF466	Protein of unknown function (DUF466)
DUF465	Protein of unknown function (DUF465)
DUF464	Protein of unknown function (DUF464)
BSP	Peptidase of plants and bacteria
BSD	BSD domain  
CAP	Cysteine-rich secretory protein family|Adenylate cyclase associated (CAP) C terminal|Adenylate cyclase associated (CAP) N terminal
DUF1336	Protein of unknown function (DUF1336)
DUF1335	Protein of unknown function (DUF1335)
ARA70	Nuclear coactivator
DUF1330	Protein of unknown function (DUF1330)
DUF2046	Uncharacterized conserved protein H4 (DUF2046)
DUF1338	Domain of unknown function (DUF1338)
SBP	SBP domain
ACPS	4'-phosphopantetheinyl transferase superfamily
DUF2040	Coiled-coil domain-containing protein 55 (DUF2040)
SARA	Smad anchor for receptor activation (SARA)
TBCC	Tubulin binding cofactor C
TBCA	Tubulin binding cofactor A
DUF2517	Protein of unknown function (DUF2517)
SBF	Sodium Bile acid symporter family
DUF2042	Uncharacterized conserved protein (DUF2042)
MltA	MltA specific insert domain
DUF2515	Protein of unknown function (DUF2515)
PSII	Photosystem II protein
ERF	ERF superfamily
Vps8	Golgi CORVET complex core vacuolar protein 8
ERM	Ezrin/radixin/moesin family
KOW	KOW motif
Dpoe2NT	DNA polymerases epsilon N terminal
DUF2028	Domain of unknown function (DUF2028)
DUF2029	Protein of unknown function (DUF2029)
DUF1905	Domain of unknown function (DUF1905)
DUF2023	Protein of unknown function (DUF2023)
DUF2020	Domain of unknown function (DUF2020)
DUF2026	Protein of unknown function (DUF2026)
DUF1906	Domain of unknown function (DUF1906)
DUF2024	Domain of unknown function (DUF2024)
DUF2025	Protein of unknown function (DUF2025)
DUF3393	Domain of unknown function (DUF3393)
DUF1907	Domain of Unknown Function (DUF1907)
LLGL	LLGL2
DUF3640	Protein of unknown function (DUF3640) 
DUF1900	Domain of unknown function (DUF1900)
DUF3391	Domain of unknown function (DUF3391)
DUF3390	Domain of unknown function (DUF3390)
DUF1902	Domain of unknown function (DUF1902)
ImmE5	Colicin-E5 Imm protein
DUF3645	Protein of unknown function (DUF3645) 
UPF0060	Uncharacterised BCR, YnfA/UPF0060 family
DUF1455	Protein of unknown function (DUF1455)
UPF0066	Uncharacterised protein family UPF0066
DUF3644	Protein of unknown function (DUF3644) 
DUF3395	Domain of unknown function (DUF3395)
DUF3394	Domain of unknown function (DUF3394)
BAAT	BAAT / Acyl-CoA thioester hydrolase C terminal
QLQ	QLQ
CNF1	Rho-activating domain of cytotoxic necrotizing factor
PGK	Phosphoglycerate kinase
DUF2688	Protein of unknown function (DUF2688)
DUF2689	Protein of unknown function (DUF2689)
DUF2686	Protein of unknown function (DUF2686)
DUF2684	Protein of unknown function (DUF2684)
DUF2685	Protein of unknown function (DUF2685)
DUF2682	Protein of unknown function (DUF2682)
DUF2683	Protein of unknown function (DUF2683)
DUF2680	Protein of unknown function (DUF2680)
DUF2681	Protein of unknown function (DUF2681)
DUF3379	Protein of unknown function (DUF3379)
DUF3378	Domain of unknown function (DUF3378)
RA	Ras association (RalGDS/AF-6) domain
ChW	Clostridial hydrophobic W
DUF3371	Domain of unknown function (DUF3371)
DUF3370	Protein of unknown function (DUF3370)
DUF3373	Protein of unknown function (DUF3373)
DUF3372	Domain of unknown function (DUF3372)
DUF3375	Protein of unknown function (DUF3375)
DUF3374	Protein of unknown function (DUF3374)
DUF3377	Domain of unknown function (DUF3377)
DUF3376	Protein of unknown function (DUF3376)
YwpF	YwpF-like protein
DUF2970	Protein of unknown function (DUF2970)
DUF2971	Protein of unknown function (DUF2971)
DUF2972	Protein of unknown function (DUF2972)
DUF2973	Protein of unknown function (DUF2973)
DUF2974	Protein of unknown function (DUF2974)
DUF2975	Protein of unknown function (DUF2975)
DUF2976	Protein of unknown function (DUF2976)
DUF2977	Protein of unknown function (DUF2977)
DUF3083	Protein of unknown function (DUF3083)
DUF3082	Protein of unknown function (DUF3082)
DUF3081	Protein of unknown function (DUF3081)
DUF3080	Protein of unknown function (DUF3080)
DUF3087	Protein of unknown function (DUF3087)
DUF3086	Protein of unknown function (DUF3086)
DUF3085	Protein of unknown function (DUF3085)
DUF3084	Protein of unknown function (DUF3084)
DUF3089	Protein of unknown function (DUF3089)
DUF3088	Protein of unknown function (DUF3088)
SPT2	SPT2 chromatin protein
DndB	DNA-sulfur modification-associated
HycH	Formate hydrogenlyase maturation protein HycH
HycI	Hydrogenase maturation protease
EXOSC1	Exosome component EXOSC1/CSL4
PerC	PerC transcriptional activator
PerB	PerB protein
DUF3889	Protein of unknown function (DUF3889)
DUF3888	Protein of unknown function (DUF3888)
DUF3883	Domain of unknown function (DUF3883)
DUF3882	Lactococcus phage M3 protein
DUF3881	Domain of unknown function, E. rectale Gene description (DUF3881)
DUF3880	DUF based on E. rectale Gene description (DUF3880)
DUF3887	Protein of unknown function (DUF3887)
DUF3886	Protein of unknown function (DUF3886)
DUF3885	Domain of unknown function (DUF3885)
DUF3884	Protein of unknown function (DUF3884)
DUF4356	Domain of unknown function (DUF4356)
DUF4357	Domain of unknown function (DUF4357)
DUF4354	Domain of unknown function (DUF4354)
DUF4355	Domain of unknown function (DUF4355)
DUF4352	Domain of unknown function (DUF4352)
DUF4353	Domain of unknown function (DUF4353)
DUF4350	Domain of unknown function (DUF4350)
DUF4351	Domain of unknown function (DUF4351)
DUF4358	Domain of unknown function (DUF4358)
DUF4359	Domain of unknown function (DUF4359)
INCENP	Chromosome passenger complex (CPC) protein INCENP N terminal
XdhC	XdhC Rossmann domain
NIDO	Nidogen-like
Exo70	Exo70 exocyst complex subunit
YodL	YodL-like
Per1	Per1-like 
HRXXH	Putative peptidase family
UPF0489	UPF0489 domain
YodA	YodA lipocalin-like domain
SieB	Superinfection exclusion protein B
SBP56	56kDa selenium binding protein (SBP56)
HoxA13	Hox protein A13 N terminal
V4R	V4R domain
DUF1108	Protein of unknown function (DUF1108)
DUF1109	Protein of unknown function (DUF1109)
DUF1104	Protein of unknown function (DUF1104)
DUF1106	Protein of unknown function (DUF1106)
DUF1107	Protein of unknown function (DUF1107)
DUF1100	Alpha/beta hydrolase of unknown function (DUF1100)
DUF1101	Protein of unknown function (DUF1101)
DUF1102	Protein of unknown function (DUF1102)
DUF1103	Repeat of unknown function (DUF1103)
PurS	Phosphoribosylformylglycinamidine (FGAM) synthase
DUF3131	Protein of unknown function (DUF3131)
AsiA	Anti-Sigma Factor A
FANCF	Fanconi anemia group F protein (FANCF)
PurA	PurA ssDNA and RNA-binding protein
FANCL	FANCL C-terminal domain
YbgS	YbgS-like protein
DRTGG	DRTGG domain
DUF3130	Protein of unknown function (DUF3130
MscL	Large-conductance mechanosensitive channel, MscL
VD10	Viral D10 N-terminal
YxiJ	YxiJ-like protein
ArsD	Arsenical resistance operon trans-acting repressor ArsD
ArsB	Arsenical pump membrane protein
ArsC	ArsC family
ArsR	ArsR transcriptional regulator
Stk19	Serine-threonine protein kinase 19
MULE	MULE transposase domain
Nic96	Nup93/Nic96
BOFC	Bypass of Forespore C, N terminal
NA37	37-kD nucleoid-associated bacterial protein
WCCH	WCCH motif 
Tmem26	Transmembrane protein 26
NRIF3	Nuclear receptor co-activator NRIF3
HNOB	Heme NO binding
HSA	HSA
Vma12	Endoplasmic reticulum-based factor for assembly of V-ATPase
DUF2192	Uncharacterized protein conserved in archaea (DUF2192)
HSL	Hormone-sensitive lipase (HSL) N-terminus
ORC6	Origin recognition complex subunit 6 (ORC6)
GSIII	Glutamine synthetase type III N terminal 
WI12	Wound-induced protein WI12
SHMT	Serine hydroxymethyltransferase
UFC1	Ubiquitin-fold modifier-conjugating enzyme 1
YwhD	YwhD family
PH	PH domain
DUF2769	Protein of unknown function (DUF2769)
DUF2768	Protein of unknown function (DUF2768)
AMMECR1	AMMECR1
DUF2765	Protein of unknown function (DUF2765)
DUF2764	Protein of unknown function (DUF2764)
DUF2767	Protein of unknown function (DUF2767)
DUF2766	Protein of unknown function (DUF2766)
DUF2761	Protein of unknown function (DUF2761)
DUF2760	Domain of unknown function (DUF2760)
DUF2763	Protein of unknown function (DUF2763)
DUF2762	Protein of unknown function (DUF2762)
RGP	Reversibly glycosylated polypeptide
P2	P2 response regulator binding domain
RGS	Regulator of G protein signaling domain|Regulator of G protein signalling-like domain
DUF3418	Domain of unknown function (DUF3418)
DUF3419	Protein of unknown function (DUF3419)
DUF3148	Protein of unknown function (DUF3148)
DUF3149	Protein of unknown function (DUF3149)
DUF3146	Protein of unknown function (DUF3146)
DUF3147	Protein of unknown function (DUF3147)
DUF3416	Domain of unknown function (DUF3416)
DUF3417	Protein of unknown function (DUF3417)
EMI	EMI domain
