0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.785	0.000	0.785	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.831	0.825	0.949	
0.000	0.000	0.000	
0.841	0.000	0.421	
0.609	0.609	0.000	
0.635	0.635	0.367	
0.581	0.049	0.099	
0.666	0.806	0.549	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.864	0.390	0.645	
0.800	0.850	0.749	
0.772	0.772	0.295	
0.800	0.800	0.200	
0.000	0.000	0.000	
0.000	0.717	0.249	
0.870	0.112	0.365	
0.105	0.593	0.889	
0.000	0.173	0.232	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.134	0.401	0.327	
0.000	0.978	0.978	
0.000	0.000	0.802	
0.237	0.194	0.336	
0.000	0.000	0.000	
0.742	0.742	0.394	
0.428	0.454	0.428	
0.000	0.000	0.000	
0.000	0.000	0.425	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.433	0.433	0.375	
0.914	0.597	0.633	
0.420	0.364	0.515	
0.000	0.000	0.000	
0.355	0.355	0.621	
0.000	0.000	0.000	
0.157	0.426	0.035	
0.599	0.454	0.000	
0.189	0.213	0.615	
0.857	0.345	0.345	
0.000	0.000	0.000	
0.875	0.386	0.357	
0.849	0.346	0.346	
0.000	0.000	0.000	
0.939	0.939	0.728	
0.000	0.000	0.000	
0.040	0.040	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.494	0.095	0.270	
0.000	0.000	0.000	
0.456	0.456	0.460	
0.000	0.000	0.000	
0.000	0.000	0.707	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.119	0.166	0.048	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.289	0.354	0.102	
0.362	0.344	0.689	
0.922	0.136	0.835	
0.664	0.188	0.310	
0.000	0.035	0.399	
0.000	0.000	0.000	
0.951	0.578	0.157	
0.000	0.000	0.000	
0.707	0.000	0.707	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.609	0.056	0.222	
0.000	0.000	0.000	
0.590	0.111	0.428	
0.176	0.170	0.362	
0.383	0.607	0.607	
0.491	0.793	0.080	
0.174	0.236	0.287	
0.120	0.103	0.428	
0.000	0.000	0.911	
0.771	0.364	0.257	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.570	0.428	0.538	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.524	0.677	0.533	
0.774	0.000	0.774	
0.000	0.098	0.543	
0.000	0.000	0.774	
0.151	0.257	0.030	
0.000	0.295	0.000	
0.600	0.465	0.531	
0.000	0.000	0.667	
0.906	0.400	0.400	
0.000	0.032	0.018	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.366	
0.518	0.598	0.345	
0.794	0.000	0.553	
0.057	0.000	0.196	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.578	0.710	0.578	
0.000	0.000	0.000	
0.000	0.281	0.281	
0.000	0.000	0.000	
0.482	0.702	0.000	
0.203	0.057	0.497	
0.278	0.538	0.603	
0.666	0.102	0.118	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.402	
0.027	0.588	0.690	
0.000	0.000	0.000	
0.222	0.196	0.124	
0.000	0.000	0.000	
0.512	0.595	0.330	
0.100	0.393	0.100	
0.896	0.460	0.831	
0.155	0.155	0.582	
0.454	0.454	0.227	
0.000	0.000	0.000	
0.884	0.561	0.649	
0.959	0.959	0.844	
0.000	0.000	0.000	
0.000	0.000	0.909	
0.342	0.055	0.000	
0.000	0.000	0.873	
0.000	0.000	0.000	
0.913	0.135	0.913	
0.716	0.658	0.764	
0.000	0.000	0.000	
0.337	0.438	0.583	
0.457	0.735	0.170	
0.000	0.000	0.000	
0.701	0.205	0.956	
0.000	0.000	0.000	
0.678	0.290	0.353	
0.949	0.000	0.949	
0.000	0.000	0.945	
0.945	0.945	0.000	
0.534	0.697	0.534	
0.912	0.556	0.368	
0.504	0.522	0.788	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.945	0.000	0.945	
0.647	0.305	0.647	
0.915	0.000	0.179	
0.614	0.291	0.943	
0.956	0.956	0.676	
0.000	0.000	0.375	
0.000	0.000	0.000	
0.030	0.012	0.482	
0.215	0.329	0.806	
0.121	0.173	0.849	
0.000	0.000	0.885	
0.171	0.164	0.483	
0.165	0.191	0.816	
0.000	0.000	0.904	
0.067	0.117	0.895	
0.289	0.501	0.477	
0.000	0.000	0.000	
0.724	0.110	0.513	
0.000	0.000	0.000	
0.400	0.400	0.849	
0.616	0.000	0.678	
0.000	0.000	0.000	
0.322	0.092	0.423	
0.856	0.730	0.823	
0.315	0.404	0.404	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.397	0.000	0.758	
0.000	0.000	0.000	
0.389	0.389	0.314	
0.000	0.000	0.000	
0.000	0.804	0.804	
0.681	0.098	0.496	
0.000	0.000	0.000	
0.000	0.037	0.171	
0.000	0.000	0.000	
0.008	0.074	0.651	
0.412	0.238	0.898	
0.000	0.000	0.000	
0.166	0.035	0.196	
0.067	0.118	0.136	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.912	0.054	0.161	
0.215	0.124	0.273	
0.000	0.000	0.000	
0.754	0.219	0.275	
0.113	0.610	0.218	
0.543	0.091	0.453	
0.000	0.000	0.928	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.101	0.345	0.369	
0.906	0.154	0.086	
0.000	0.075	0.471	
0.946	0.417	0.718	
0.731	0.044	0.170	
0.000	0.000	0.000	
0.896	0.051	0.218	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.314	0.314	0.079	
0.000	0.000	0.000	
0.960	0.348	0.960	
0.610	0.035	0.645	
0.880	0.258	0.258	
0.000	0.000	0.000	
0.728	0.728	0.573	
0.789	0.000	0.558	
0.000	0.000	0.000	
0.000	0.213	0.213	
0.000	0.000	0.000	
0.964	0.515	0.964	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.862	0.289	0.742	
0.203	0.176	0.457	
0.000	0.000	0.733	
0.043	0.043	0.948	
0.444	0.281	0.199	
0.000	0.000	0.000	
0.000	0.707	0.707	
0.000	0.000	0.707	
0.000	0.000	0.000	
0.214	0.222	0.309	
0.406	0.385	0.541	
0.958	0.526	0.726	
0.589	0.000	0.000	
0.965	0.526	0.804	
0.000	0.000	0.000	
0.155	0.649	0.783	
0.511	0.086	0.904	
0.000	0.000	0.000	
0.047	0.638	0.765	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.660	0.352	0.292	
0.883	0.512	0.874	
0.884	0.000	0.000	
0.894	0.000	0.894	
0.500	0.065	0.031	
0.461	0.565	0.146	
0.581	0.093	0.093	
0.415	0.000	0.283	
0.871	0.087	0.804	
0.503	0.503	0.436	
0.797	0.474	0.665	
0.221	0.463	0.276	
0.524	0.662	0.544	
0.000	0.000	0.707	
0.445	0.445	0.408	
0.000	0.051	0.415	
0.942	0.512	0.145	
0.000	0.000	0.931	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.707	
0.000	0.000	0.000	
0.000	0.000	0.236	
0.000	0.000	0.303	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.468	0.721	0.271	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.400	0.000	0.400	
0.422	0.000	0.522	
0.000	0.000	0.000	
0.148	0.148	0.048	
0.157	0.157	0.185	
0.000	0.000	0.911	
0.000	0.000	0.000	
0.077	0.920	0.077	
0.283	0.681	0.897	
0.000	0.206	0.036	
0.000	0.000	0.468	
0.000	0.300	0.000	
0.118	0.833	0.000	
0.000	0.000	0.832	
0.000	0.000	0.512	
0.000	0.000	0.000	
0.182	0.247	0.245	
0.133	0.094	0.141	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.555	0.055	
0.269	0.289	0.346	
0.000	0.484	0.484	
0.000	0.000	0.129	
0.000	0.000	0.000	
0.000	0.000	0.855	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.287	0.000	0.060	
0.678	0.678	0.904	
0.000	0.000	0.000	
0.614	0.414	0.315	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.645	0.183	
0.319	0.319	0.742	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.852	0.852	0.881	
0.697	0.000	0.493	
0.725	0.018	0.129	
0.403	0.945	0.604	
0.000	0.000	0.000	
0.572	0.067	0.377	
0.676	0.000	0.676	
0.000	0.000	0.880	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.606	0.495	0.603	
0.179	0.179	0.202	
0.448	0.317	0.568	
0.000	0.000	0.000	
0.277	0.196	0.679	
0.263	0.000	0.565	
0.000	0.000	0.849	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.040	0.040	0.000	
0.746	0.000	0.761	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.465	0.164	0.164	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.875	0.000	0.219	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.934	0.100	0.142	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.581	0.468	0.331	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.947	0.947	
0.000	0.000	0.000	
0.669	0.560	0.303	
0.948	0.063	0.457	
0.129	0.030	0.000	
0.000	0.113	0.113	
0.000	0.000	0.000	
0.884	0.717	0.606	
0.000	0.000	0.000	
0.627	0.694	0.694	
0.595	0.606	0.399	
0.489	0.933	0.311	
0.000	0.000	0.000	
0.000	0.000	0.335	
0.367	0.087	0.691	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.439	0.731	0.146	
0.532	0.532	0.440	
0.430	0.340	0.058	
0.468	0.000	0.469	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.712	0.538	0.712	
0.593	0.180	0.180	
0.000	0.405	0.496	
0.910	0.910	0.477	
0.109	0.109	0.767	
0.109	0.109	0.767	
0.774	0.258	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.866	
0.730	0.548	0.000	
0.802	0.381	0.249	
0.874	0.338	0.752	
0.458	0.458	0.458	
0.577	0.577	0.889	
0.560	0.560	0.640	
0.644	0.051	0.438	
0.000	0.000	0.000	
0.476	0.674	0.000	
0.684	0.558	0.827	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.679	0.833	0.898	
0.710	0.352	0.151	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.669	0.038	0.080	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.231	0.360	0.388	
0.596	0.596	0.447	
0.027	0.047	0.847	
0.112	0.206	0.830	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.535	0.641	0.960	
0.808	0.347	0.231	
0.000	0.000	0.000	
0.157	0.188	0.078	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.962	
0.000	0.000	0.000	
0.364	0.364	0.445	
0.495	0.439	0.439	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.874	0.714	0.874	
0.295	0.480	0.881	
0.097	0.121	0.097	
0.457	0.457	0.371	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.938	0.938	
0.186	0.857	0.857	
0.852	0.852	0.721	
0.597	0.380	0.597	
0.393	0.381	0.756	
0.000	0.000	0.000	
0.506	0.092	0.426	
0.527	0.527	0.791	
0.510	0.510	0.510	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.217	0.217	0.000	
0.747	0.381	0.654	
0.817	0.232	0.241	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.853	0.213	0.213	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.920	0.122	0.122	
0.136	0.816	0.335	
0.662	0.937	0.937	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.685	0.471	0.814	
0.773	0.644	0.814	
0.000	0.000	0.000	
0.000	0.707	0.707	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.183	0.830	0.371	
0.667	0.506	0.617	
0.000	0.000	0.000	
0.860	0.860	0.307	
0.000	0.000	0.000	
0.763	0.763	0.446	
0.373	0.066	0.373	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.163	0.344	0.072	
0.000	0.051	0.399	
0.000	0.000	0.000	
0.061	0.000	0.050	
0.000	0.000	0.708	
0.359	0.359	0.072	
0.765	0.874	0.874	
0.000	0.000	0.000	
0.000	0.154	0.636	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.826	0.000	0.035	
0.000	0.000	0.032	
0.000	0.000	0.000	
0.850	0.850	0.283	
0.432	0.000	0.249	
0.752	0.562	0.958	
0.000	0.000	0.000	
0.205	0.579	0.386	
0.594	0.888	0.224	
0.522	0.522	0.609	
0.456	0.456	0.228	
0.167	0.033	0.167	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.307	0.382	0.333	
0.888	0.304	0.304	
0.891	0.167	0.515	
0.950	0.146	0.073	
0.304	0.233	0.329	
0.000	0.000	1.000	
0.753	0.022	0.640	
0.000	0.000	0.000	
0.231	0.163	0.808	
0.000	0.000	0.102	
0.000	0.258	0.730	
0.000	0.000	0.774	
0.879	0.082	0.438	
0.000	0.000	0.000	
0.127	0.021	0.057	
0.250	0.250	0.144	
0.882	0.885	0.643	
0.348	0.626	0.226	
0.549	0.549	0.517	
0.000	0.000	0.000	
0.000	0.294	0.000	
0.852	0.852	0.427	
0.000	0.000	0.000	
0.000	0.000	0.762	
0.787	0.401	0.787	
0.000	0.000	0.000	
0.000	0.020	0.442	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.891	0.092	0.292	
0.000	0.000	0.000	
0.767	0.140	0.000	
0.000	0.046	0.770	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.878	0.000	0.848	
0.628	0.000	0.212	
0.058	0.224	0.299	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.047	0.449	
0.675	0.028	0.675	
0.435	0.000	0.582	
0.928	0.594	0.000	
0.000	0.000	0.000	
0.781	0.335	0.335	
0.000	0.000	0.000	
0.814	0.426	0.814	
0.290	0.290	0.483	
0.722	0.722	0.802	
0.701	0.701	0.346	
0.495	0.495	0.578	
0.321	0.268	0.654	
0.672	0.758	0.949	
0.234	0.000	0.287	
0.835	0.835	0.622	
0.749	0.000	0.749	
0.940	0.940	0.853	
0.000	0.000	0.000	
0.730	0.546	0.471	
0.108	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.000	0.000	0.000	
0.486	0.760	0.409	
0.037	0.337	0.449	
0.000	0.000	0.000	
0.056	0.040	0.056	
0.079	0.079	0.316	
0.000	0.678	0.678	
0.000	0.000	0.000	
